Common Name,Latitude,Longitude,Photos,Primary ID,Status,Tree Number,Overall Monetary Benefit,Stormwater Monetary Benefit,Runoff Prevention (Gallons),Property Value Total,Energy Savings,Energy Saved (kWh),Natural Gas Savings,Heat Prevention (Therms),Air Quality Monetary Benefit,Pollutants removed (lb),Carbon Monetary Benefit,Carbon Stored (lb),Carbon Sequestered (lb),Carbon Avoided (lb)
American Beech,40.34446204,-74.64423202,,7906,Alive,1,97.9488,5.26166,487.191,83.3686,2.59837,40.8549,4.95994,5.47092,0.527334,0.293186,1.23287,164.383,81.4422,90.0899
American Beech,40.34881573,-74.64914851,,7831,Alive,1,112.772,10.8021,1000.19,86.6217,4.53227,71.2621,7.58727,8.36893,1.05912,0.574064,2.16945,289.261,147.229,157.141
American Beech,40.34885815,-74.64917667,,7830,Alive,1,121.665,13.7765,1275.6,89.6613,5.57809,87.7057,8.55004,9.43088,1.46537,0.779326,2.63419,351.225,178.527,193.402
American Beech,40.34167715,-74.66011539,,7293,Alive,1,91.529,2.76336,255.866,82.8086,1.61005,25.3152,3.27821,3.61593,0.30666,0.172459,0.762111,101.615,49.8289,55.8231
American Beech,40.3417252,-74.66016501,,7291,Alive,1,91.529,2.76336,255.866,82.8086,1.61005,25.3152,3.27821,3.61593,0.30666,0.172459,0.762111,101.615,49.8289,55.8231
American Beech,40.34869819,-74.66433518,,7163,Removed,1,,,,,,,,,,,,,,
American Beech,40.34951585,-74.66511168,,7117,Alive,1,117.219,12.2893,1137.89,88.1415,5.05518,79.4839,8.06866,8.89991,1.26225,0.676695,2.40182,320.243,162.878,175.272
American Beech,40.34959864,-74.66519617,,7113,Alive,1,148.325,22.7119,2102.95,99.2635,8.40741,132.192,11.1441,12.2922,2.96848,1.50947,3.82974,510.632,260.923,291.499
American Beech,40.34109399,-74.66724738,,7024,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
American Beech,40.3407582,-74.66715015,,6520,Alive,1,112.772,10.8021,1000.19,86.6217,4.53227,71.2621,7.58727,8.36893,1.05912,0.574064,2.16945,289.261,147.229,157.141
American Beech,40.340841,-74.6662952,,6432,Alive,1,104.866,7.96381,737.389,84.5241,3.53903,55.6451,6.39057,7.04895,0.746443,0.412017,1.70235,226.98,114.867,122.704
